날짜,level,turnover,reason
2022-12-26,1571.6827187815852,0.0,
2022-12-27,1577.7756415108968,0.0,
2022-12-28,1542.3143423392416,0.0,
2022-12-29,1506.5610613046922,0.0,
2023-01-02,1504.6377285129824,0.0,
2023-01-03,1522.1952033609093,0.004761243092550077,cap
2023-01-04,1619.283662853033,0.0,
2023-01-05,1612.676984045327,0.0,
2023-01-06,1644.368641969791,0.0,
2023-01-09,1683.720608553702,0.0,
2023-01-10,1699.442768240499,0.0,
2023-01-11,1705.727945080919,0.0,
2023-01-12,1700.212993417273,0.0,
2023-01-13,1697.7369993524278,0.0,
2023-01-16,1705.4740902949347,0.0,
2023-01-17,1705.9005325169524,0.0,
2023-01-18,1698.6830700827927,0.0,
2023-01-19,1711.4424152029362,0.0,
2023-01-20,1719.6478914757583,0.0,
2023-01-25,1786.5795118026324,0.0,
2023-01-26,1801.085832749544,0.0,
2023-01-27,1802.9913654858533,0.0,
2023-01-30,1788.7384085451924,0.0,
2023-01-31,1766.2942512480686,0.0,
2023-02-01,1792.653170826412,0.0,
2023-02-02,1832.4421066514094,0.015950968107539154,cap
2023-02-03,1831.2845025270233,0.0,
2023-02-06,1806.3348087953486,0.0,
2023-02-07,1839.7827436707591,0.0,
2023-02-08,1876.4478871961855,0.0,
2023-02-09,1879.4021403889476,0.0,
2023-02-10,1877.9331584306233,0.0,
2023-02-13,1864.579547703664,0.0,
2023-02-14,1878.1678686893488,0.0,
2023-02-15,1873.9167881301998,0.0,
2023-02-16,1889.8525538100125,0.0,
2023-02-17,1847.1777970642602,0.0,
2023-02-20,1854.3685520744125,0.0,
2023-02-21,1844.7451820137328,0.0,
2023-02-22,1824.351517916863,0.0,
2023-02-23,1867.965012352734,0.0,
2023-02-24,1854.7638244912107,0.0,
2023-02-27,1848.982938222983,0.0,
2023-02-28,1842.2166131131462,0.0,
2023-03-02,1824.2256083339212,0.0,
2023-03-03,1811.035556763768,0.030081622660222906,cap
2023-03-06,1848.8535387991258,0.0,
2023-03-07,1849.6846257731252,0.0,
2023-03-08,1828.845572299516,0.0,
2023-03-09,1804.2063504640062,0.0,
2023-03-10,1757.8886834554555,0.0,
2023-03-13,1767.078717724715,0.0,
2023-03-14,1704.7305125492994,0.0,
2023-03-15,1695.393589687726,0.0,
2023-03-16,1716.6367337911056,0.0,
2023-03-17,1813.2582567343675,0.0,
2023-03-20,1802.5341011729015,0.0,
2023-03-21,1790.821128315262,0.0,
2023-03-22,1837.5195970457476,0.0,
2023-03-23,1867.9240293083183,0.0,
2023-03-24,2005.4141631895668,0.0,
2023-03-27,2011.5148924522348,0.0,
2023-03-28,2056.99824177021,0.0,
2023-03-29,2042.6915320443707,0.0,
2023-03-30,2070.5120649376827,0.0,
2023-03-31,2053.84845167107,0.0,
2023-04-03,2035.1871258005044,0.0,
2023-04-04,1958.695253074445,0.04435068609640838,cap
2023-04-05,1976.2352212963638,0.0,
2023-04-06,1958.7616662711384,0.0,
2023-04-07,2055.489652545914,0.0,
2023-04-10,2059.2974774758586,0.0,
2023-04-11,2112.96581974064,0.0,
2023-04-12,2071.605381665566,0.0,
2023-04-13,2058.558428183383,0.0,
2023-04-14,2038.556717140116,0.0,
2023-04-17,2041.9567488440207,0.0,
2023-04-18,2034.66061125359,0.0,
2023-04-19,2050.246654633758,0.0,
2023-04-20,2071.705406419123,0.0,
2023-04-21,2102.027485253483,0.0,
2023-04-24,2037.7293868910597,0.0,
2023-04-25,2013.301884221783,0.0,
2023-04-26,2070.7561836566224,0.0,
2023-04-27,2084.9953350111605,0.0,
2023-04-28,2067.135044602749,0.0,
2023-05-02,2101.972005936732,0.0,
2023-05-03,2159.106793102112,0.03435606403042163,cap
2023-05-04,2100.4569805656383,0.0,
2023-05-08,2103.056348123857,0.0,
2023-05-09,2083.682190027437,0.0,
2023-05-10,2058.813411852985,0.0,
2023-05-11,2032.5409549136364,0.0,
2023-05-12,2035.551379450421,0.0,
2023-05-15,2010.2753897032162,0.0,
2023-05-16,2058.752102984586,0.0,
2023-05-17,2080.0215327219357,0.0,
2023-05-18,2140.975546227546,0.0,
2023-05-19,2337.538957814847,0.0,
2023-05-22,2352.056801505349,0.0,
2023-05-23,2362.5117309750867,0.0,
2023-05-24,2360.4582103206353,0.0,
2023-05-25,2433.5099444652205,0.0,
2023-05-26,2491.0462901683877,0.0,
2023-05-30,2523.422568206741,0.0,
2023-05-31,2479.7296834317067,0.0,
2023-06-01,2481.647695788444,0.0,
2023-06-02,2475.78963203954,0.02372428596114426,cap
2023-06-05,2440.4420580686074,0.0,
2023-06-07,2422.3867886767616,0.0,
2023-06-08,2454.8355592606576,0.0,
2023-06-09,2540.5619882040714,0.0,
2023-06-12,2521.431416488916,0.311416925138173,regular
2023-06-13,2567.7204858443424,0.0,
2023-06-14,2558.571427376478,0.29866153227639786,cap
2023-06-15,2645.888714651256,0.0,
2023-06-16,2647.111010492399,0.0,
2023-06-19,2617.0336599521197,0.0,
2023-06-20,2680.525006270465,0.0,
2023-06-21,2607.6474912243307,0.0,
2023-06-22,2604.3850617382295,0.0,
2023-06-23,2647.1484461361642,0.0,
2023-06-26,2665.629871562131,0.0,
2023-06-27,2646.6111757789886,0.0,
2023-06-28,2647.4200103853163,0.0,
2023-06-29,2670.448065699707,0.0,
2023-06-30,2659.278466237496,0.0,
2023-07-03,2719.9820933298915,0.0,
2023-07-04,2731.845721473558,0.039873902909953685,cap
2023-07-05,2688.421876343449,0.0,
2023-07-06,2617.671064409225,0.0,
2023-07-07,2583.908550596113,0.0,
2023-07-10,2554.324653265943,0.0,
2023-07-11,2649.4697221866404,0.0,
2023-07-12,2704.596746643153,0.0,
2023-07-13,2969.186028928124,0.0,
2023-07-14,3179.906587495224,0.0,
2023-07-17,3250.533005254325,0.0,
2023-07-18,3240.396164733272,0.0,
2023-07-19,3059.4408801793893,0.0,
2023-07-20,3116.900408779893,0.0,
2023-07-21,3066.8029597442874,0.0,
2023-07-24,3123.1529164862477,0.0,
2023-07-25,3087.5114913839993,0.0,
2023-07-26,3009.6561547748047,0.0,
2023-07-27,3179.024643373906,0.0,
2023-07-28,3232.3330642883957,0.0,
2023-07-31,3225.8514173724575,0.0,
2023-08-01,3396.849273174269,0.0,
2023-08-02,3218.658018122794,0.10900620487994003,cap
2023-08-03,3207.3525483907047,0.0,
2023-08-04,3149.3823805319275,0.0,
2023-08-07,3174.058902402508,0.0,
2023-08-08,3141.5093488154994,0.0,
2023-08-09,3139.86980406803,0.0,
2023-08-10,3127.145045529247,0.0,
2023-08-11,3113.6143205475382,0.0,
2023-08-14,3057.9381996153415,0.0,
2023-08-16,3116.9642946137897,0.0,
2023-08-17,3116.452200529475,0.0,
2023-08-18,3329.0097652081963,0.0,
2023-08-21,3367.8224518408533,0.0,
2023-08-22,3283.7607634122273,0.0,
2023-08-23,3313.08752049443,0.0,
2023-08-24,3341.2873615469266,0.0,
2023-08-25,3260.9369159572234,0.0,
2023-08-28,3264.016072102334,0.0,
2023-08-29,3294.7923573806484,0.0,
2023-08-30,3345.791596187778,0.0,
2023-08-31,3423.087439651462,0.0,
2023-09-01,3441.5373465488665,0.0,
2023-09-04,3430.889273840413,0.03620851642180356,cap
2023-09-05,3436.5670053700183,0.0,
2023-09-06,3388.2654085311565,0.0,
2023-09-07,3393.6385584571794,0.0,
2023-09-08,3285.065144761905,0.0,
2023-09-11,3296.5185169889924,0.0,
2023-09-12,3289.550221861036,0.0,
2023-09-13,3319.139683775686,0.0,
2023-09-14,3381.243028126962,0.0,
2023-09-15,3393.875533465465,0.0,
2023-09-18,3257.673249119181,0.0,
2023-09-19,3238.4297078335726,0.0,
2023-09-20,3226.651712814926,0.0,
2023-09-21,3176.4543529544903,0.0,
2023-09-22,3209.050993272703,0.0,
2023-09-25,3215.810059879979,0.0,
2023-09-26,3195.561866065888,0.0,
2023-09-27,3234.666150546287,0.0,
2023-10-04,3256.4010967415766,0.0,
2023-10-05,3267.9885337732576,0.019551615743898326,cap
2023-10-06,3258.368818331846,0.0,
2023-10-10,3188.0209734663636,0.0,
2023-10-11,3250.600069321203,0.0,
2023-10-12,3393.5071769482465,0.0,
2023-10-13,3416.1633867062833,0.0,
2023-10-16,3421.859706112672,0.0,
2023-10-17,3519.8833623775276,0.0,
2023-10-18,3529.642444811511,0.0,
2023-10-19,3478.444245487495,0.0,
2023-10-20,3467.440386491195,0.0,
2023-10-23,3377.3743562346804,0.0,
2023-10-24,3470.029906377951,0.0,
2023-10-25,3486.6710791101536,0.0,
2023-10-26,3368.749405775091,0.0,
2023-10-27,3351.9288824160144,0.0,
2023-10-30,3347.825946403744,0.0,
2023-10-31,3223.6017791465733,0.0,
2023-11-01,3291.7193017840805,0.0,
2023-11-02,3451.4164601539896,0.00784329635366321,cap
2023-11-03,3436.3179630194018,0.0,
2023-11-06,3563.9705100536457,0.0,
2023-11-07,3622.2745657120067,0.0,
2023-11-08,3543.982110082292,0.0,
2023-11-09,3568.287377401728,0.0,
2023-11-10,3690.7496719637584,0.0,
2023-11-13,3530.66924422336,0.0,
2023-11-14,3554.817750110259,0.0,
2023-11-15,3671.691960665404,0.0,
2023-11-16,3667.0727676974307,0.0,
2023-11-17,3648.101999714601,0.0,
2023-11-20,3649.141367532006,0.0,
2023-11-21,3646.2794833959942,0.0,
2023-11-22,3643.860878436861,0.0,
2023-11-23,3586.15422874199,0.0,
2023-11-24,3577.365708597733,0.0,
2023-11-27,3573.506610979116,0.0,
2023-11-28,3641.1241399822866,0.0,
2023-11-29,3621.9208644965775,0.0,
2023-11-30,3705.8152360242834,0.0,
2023-12-01,3648.605217086271,0.0,
2023-12-04,3600.6414880219813,0.0009754989874272979,cap
