date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2024-01-24,3,0.667277488485138,0.0,0.332722511514862,0.3458977898628279,2024-01-03,,0.2666666666666666,0.0006108218184713854
2024-01-25,3,0.6697574315166732,0.0,0.33024256848332667,0.3420383803756248,2024-01-03,,0.2666666666666666,0.0030907648500065887
2024-01-26,3,0.6637456428272548,0.0,0.3362543571727452,0.3388438409996632,2024-01-03,,0.2666666666666666,-0.0029210238394118404
2024-01-29,3,0.6602427439485616,0.0,0.33975725605143836,0.33975725605143836,2024-01-03,,0.2666666666666666,-0.006423922718104991
2024-01-30,3,0.6628076189037215,0.0,0.33719238109627836,0.3374388667549747,2024-01-03,,0.2666666666666666,-0.0038590477629451003
2024-01-31,3,0.6616010506440161,0.0,0.33839894935598386,0.33839894935598386,2024-01-03,,0.2666666666666666,-0.005065616022650543
2024-02-01,3,0.6662586320646731,0.0,0.3337413679353269,0.3355829909808266,2024-01-03,,0.2666666666666666,-0.00040803460199356767
2024-02-02,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2024-02-02,cap,0.2666666666666666,0.0
2024-02-05,3,0.6654229042117563,0.0,0.3345770957882435,0.3345770957882435,2024-02-02,,0.2666666666666666,-0.0012437624549103132
2024-02-06,3,0.6621118161972458,0.0,0.33788818380275426,0.33788818380275426,2024-02-02,,0.2666666666666666,-0.004554850469420835
2024-02-07,3,0.6652015212608855,0.0,0.33479847873911445,0.33682174310137375,2024-02-02,,0.2666666666666666,-0.001465145405781132
2024-02-08,3,0.607322693914879,0.0,0.39267730608512097,0.39267730608512097,2024-02-02,,0.2666666666666666,-0.0593439727517876
2024-02-13,3,0.607651142048319,0.0,0.392348857951681,0.392348857951681,2024-02-02,,0.2666666666666666,-0.05901552461834758
2024-02-14,3,0.6107005675924054,0.0,0.3892994324075944,0.3892994324075944,2024-02-02,,0.2666666666666666,-0.0559660990742612
2024-02-15,3,0.6199130046751399,0.0,0.38008699532486007,0.38008699532486007,2024-02-02,,0.2666666666666666,-0.04675366199152675
2024-02-16,3,0.6183131463444524,0.0,0.3816868536555475,0.3816868536555475,2024-02-02,,0.2666666666666666,-0.04835352032221418
2024-02-19,3,0.626408174309826,0.0,0.37359182569017396,0.37359182569017396,2024-02-02,,0.2666666666666666,-0.04025849235684065
2024-02-20,3,0.6242535445952728,0.0,0.3757464554047271,0.3757464554047271,2024-02-02,,0.2666666666666666,-0.042413122071393805
