band_pp,date,one_way_turnover,deviation_at_trigger
5.0,2020-11-25,0.18002918152762995,-0.18333333333333346
5.0,2020-12-01,0.18296751196212485,-0.18333333333333346
5.0,2020-12-07,0.17476422065602995,-0.18333333333333346
5.0,2020-12-11,0.1944569435901227,-0.18333333333333346
5.0,2020-12-18,0.18913848661434757,-0.18333333333333335
5.0,2020-12-24,0.1693615142963721,-0.18333333333333335
5.0,2021-01-04,0.17205374267252938,-0.18333333333333335
5.0,2021-01-08,0.1678720564782906,-0.18333333333333335
5.0,2021-01-14,0.1869536631211007,-0.18333333333333335
5.0,2021-01-20,0.18281523650872145,-0.18333333333333335
5.0,2021-01-26,0.18676391603836034,-0.18333333333333335
5.0,2021-02-01,0.1869117147886215,-0.18333333333333335
5.0,2021-02-05,0.18021679788050018,-0.18333333333333335
5.0,2021-02-15,0.18967131885724345,-0.18333333333333335
5.0,2021-02-19,0.2098482416376661,-0.18333333333333335
5.0,2021-02-25,0.16742630973520373,-0.18333333333333335
5.0,2021-03-05,0.18683747636821066,-0.18333333333333335
5.0,2021-03-11,0.1941544296067248,-0.18333333333333335
5.0,2021-03-17,0.17937545282001768,-0.18333333333333335
5.0,2021-03-23,0.18194408596795075,-0.18333333333333335
5.0,2021-03-29,0.18270551131255916,-0.18333333333333335
5.0,2021-04-02,0.19024764639994085,-0.18333333333333335
5.0,2021-04-08,0.19211715342366079,-0.18333333333333335
5.0,2021-04-14,0.17415388179672747,-0.18333333333333335
5.0,2021-04-20,0.19224811333245057,-0.18333333333333335
5.0,2021-04-26,0.20855491583557687,-0.18333333333333335
5.0,2021-04-30,0.18235010173613303,-0.18333333333333335
5.0,2021-05-07,0.18103320261685985,-0.18333333333333335
5.0,2021-05-13,0.18416787567216975,-0.18333333333333335
5.0,2021-05-20,0.18910753780876982,-0.18333333333333335
5.0,2021-05-26,0.1748405311031879,-0.18333333333333335
5.0,2021-06-01,0.17219246112363118,-0.18333333333333335
5.0,2021-06-07,0.18048146237739318,-0.18333333333333335
5.0,2021-06-11,0.18122273941265724,-0.18333333333333335
5.0,2021-06-18,0.19016792478743266,-0.18333333333333335
5.0,2021-06-24,0.17709878651466499,-0.18333333333333335
5.0,2021-06-30,0.19102348006470954,-0.18333333333333335
5.0,2021-07-06,0.17479134365635,-0.18333333333333335
5.0,2021-07-12,0.18302862866847852,-0.18333333333333335
5.0,2021-07-16,0.18703070109760114,-0.18333333333333335
5.0,2021-07-22,0.19131852023299775,-0.18333333333333335
5.0,2021-07-28,0.1853428627652599,-0.18333333333333335
5.0,2021-08-03,0.17723289088420413,-0.18333333333333335
5.0,2021-08-09,0.18940919740588302,-0.18333333333333335
5.0,2021-08-13,0.18592347123286376,-0.18333333333333335
5.0,2021-08-20,0.1759984814921307,-0.18333333333333335
5.0,2021-08-26,0.18878580984501017,-0.18333333333333335
5.0,2021-09-01,0.17445822775235428,-0.18333333333333335
5.0,2021-09-07,0.17805053188746073,-0.18333333333333335
5.0,2021-09-13,0.1771317497580582,-0.18333333333333335
5.0,2021-09-17,0.18562637083368078,-0.18333333333333335
5.0,2021-09-28,0.18393800107520752,-0.18333333333333335
5.0,2021-10-05,0.17634629226343887,-0.18333333333333335
5.0,2021-10-12,0.17644825650455848,-0.18333333333333335
5.0,2021-10-18,0.1926319066781711,-0.18333333333333335
5.0,2021-10-22,0.18432261935538963,-0.18333333333333335
5.0,2021-10-28,0.1853310186584268,-0.18333333333333335
5.0,2021-11-04,0.18454087501266148,-0.18333333333333335
5.0,2021-11-10,0.1770336894958588,-0.18333333333333335
5.0,2021-11-16,0.19296005461404003,-0.18333333333333335
5.0,2021-11-22,0.18710506474095434,-0.18333333333333335
5.0,2021-11-26,0.17908219700727115,-0.18333333333333335
5.0,2021-12-02,0.19605916785894523,-0.18333333333333335
5.0,2021-12-08,0.17232464758046045,-0.18333333333333335
5.0,2021-12-17,0.1755153513146169,-0.18333333333333335
5.0,2021-12-23,0.179710163203065,-0.18333333333333335
5.0,2021-12-29,0.1868181159256572,-0.18333333333333335
5.0,2022-01-06,0.17517775430212043,-0.18333333333333335
5.0,2022-01-12,0.17886382584904797,-0.18333333333333335
5.0,2022-01-18,0.1821909011174845,-0.18333333333333335
5.0,2022-01-24,0.1862930646260512,-0.18333333333333335
5.0,2022-01-28,0.1853883759877161,-0.18333333333333335
5.0,2022-02-08,0.17618419929537693,-0.18333333333333335
5.0,2022-02-14,0.16184278663749815,-0.18333333333333335
5.0,2022-02-18,0.18421509232189479,-0.18333333333333335
5.0,2022-02-24,0.1909214119019668,-0.18333333333333335
5.0,2022-03-03,0.18087073961631173,-0.18333333333333335
5.0,2022-03-10,0.18214619271961635,-0.18333333333333335
5.0,2022-03-16,0.17938399210436254,-0.18333333333333335
5.0,2022-03-22,0.18475055848710167,-0.18333333333333335
5.0,2022-03-28,0.193430485710049,-0.18333333333333335
5.0,2022-04-01,0.1912337828320939,-0.18333333333333335
5.0,2022-04-07,0.18173393336449348,-0.18333333333333335
5.0,2022-04-13,0.17920900936270268,-0.18333333333333335
5.0,2022-04-19,0.17893211772156442,-0.18333333333333335
5.0,2022-04-25,0.17649217232264322,-0.18333333333333335
5.0,2022-04-29,0.17248724921132708,-0.18333333333333335
5.0,2022-05-06,0.1792835874133614,-0.18333333333333335
5.0,2022-05-12,0.18020975271963718,-0.18333333333333335
5.0,2022-05-18,0.18876199933796756,-0.18333333333333335
5.0,2022-05-24,0.18757078768972824,-0.18333333333333335
5.0,2022-05-30,0.17767005296336022,-0.18333333333333335
5.0,2022-06-08,0.18236056482732615,-0.18333333333333335
5.0,2022-06-17,0.18588280192691076,-0.18333333333333335
5.0,2022-06-23,0.17232022064663316,-0.18333333333333335
5.0,2022-06-29,0.18861071719860514,-0.18333333333333335
5.0,2022-07-06,0.18277392481731938,-0.18333333333333335
5.0,2022-07-12,0.1948246346099638,-0.18333333333333335
