날짜,PR,TR
2022-02-03,2279.5323810817745,2386.328762068838
2022-02-04,2309.8073092973627,2418.0220745087086
2022-02-07,2298.2955170779173,2405.9709533646487
2022-02-08,2282.1687777787884,2389.0886742852726
2022-02-09,2298.7961757979087,2406.4950680091306
2022-02-10,2328.7452676477064,2437.847278608174
2022-02-11,2312.454047256623,2420.7928124768373
2022-02-14,2260.173044993771,2366.0624386312925
2022-02-15,2207.779388700014,2311.214132899216
2022-02-16,2271.50320974328,2377.9234230354277
2022-02-17,2288.023539881788,2395.217732734896
2022-02-18,2275.548568998466,2382.1583078844733
2022-02-21,2264.210645706884,2370.289201449585
2022-02-22,2238.441601402665,2343.3128741534574
2022-02-23,2256.74475584057,2362.4735336967246
2022-02-24,2179.525372038763,2281.6364119761565
2022-02-25,2189.8427034551264,2292.4371116771104
2022-02-28,2196.036857439308,2298.921462560567
2022-03-02,2198.0879721236,2301.068672227799
2022-03-03,2249.60619886433,2355.0005344213273
2022-03-04,2203.5253549046197,2306.7607970813037
2022-03-07,2143.494320852893,2243.91730147525
2022-03-08,2110.933202446633,2209.830690544497
2022-03-10,2161.0287971686407,2262.273270228906
2022-03-11,2122.4114934797058,2221.8467409673563
2022-03-14,2098.777110762295,2197.1050844239494
2022-03-15,2054.665866220933,2150.927222484673
2022-03-16,2093.801481837796,2191.896346653671
2022-03-17,2164.4018409834644,2265.8043415739917
2022-03-18,2176.928663800047,2278.918047627321
2022-03-21,2157.073779812665,2258.1329598085003
2022-03-22,2171.0120619770278,2272.7242522589568
2022-03-23,2173.069315016684,2274.87788786428
2022-03-24,2153.951982702166,2254.8649061076826
2022-03-25,2162.611459399358,2263.9300803857373
2022-03-28,2163.791577306495,2265.1654869664053
2022-03-29,2196.0217927231506,2298.9056920605485
2022-03-30,2188.8094991566995,2291.3555016263426
2022-03-31,2174.9110451349766,2276.805903272057
2022-04-01,2158.142040707079,2259.251268861222
2022-04-04,2166.012229661114,2267.4901771653085
2022-04-05,2161.8848892301544,2263.1694703120133
2022-04-06,2106.176211941442,2204.850834431185
2022-04-07,2110.2410411969427,2209.1061014525276
2022-04-08,2098.9008728283834,2197.234644758522
2022-04-11,2076.228550344529,2173.5001210925557
2022-04-12,2039.0119610371687,2134.5399298588995
2022-04-13,2089.6940986787013,2187.5965320729574
2022-04-14,2093.7477079796317,2191.8400534834363
2022-04-15,2059.651868893273,2156.146820014194
2022-04-18,2062.7389592505656,2159.378540946018
2022-04-19,2098.8399645035774,2197.1708828709775
2022-04-20,2093.693211057437,2191.783003373528
2022-04-21,2101.96712612719,2200.4445524130274
2022-04-22,2062.7437678025244,2159.383574779245
2022-04-25,2013.2060655270914,2107.5250248732464
2022-04-26,2023.4466783478297,2118.245411702646
2022-04-27,1986.2445146963444,2079.300321968671
2022-04-28,1975.8917023299098,2068.462479030638
2022-04-29,2027.6814097725266,2122.678540831347
2022-05-02,2001.920394080727,2095.710618289148
2022-05-03,2002.9814812128807,2096.821417487937
2022-05-04,1999.4668850659407,2093.142162066034
2022-05-06,1953.5165595813007,2045.0390580081812
2022-05-09,1925.1605000244558,2015.3545134669346
2022-05-10,1951.9050837517566,2043.3520843317665
2022-05-11,1961.5943277034607,2053.495270590731
2022-05-12,1922.3954414140271,2012.4599115101328
2022-05-13,1966.119634440437,2058.2325885219225
2022-05-16,1960.8746641221708,2052.741890679439
2022-05-17,1994.7451570733813,2088.1992205185384
2022-05-18,2030.1599841397756,2125.2732367218637
2022-05-19,1997.9604161890004,2091.565114931262
2022-05-20,2009.792369578978,2103.951396837274
2022-05-23,2022.9287692237094,2117.7032384704153
2022-05-24,1964.0224827838767,2056.0371850444362
2022-05-25,1957.7803945251994,2049.502654159648
2022-05-26,1913.6139922766206,2003.2670503675804
2022-05-27,1937.7576747774358,2028.5418674537984
2022-05-30,1960.133117868681,2051.965602889982
2022-05-31,1961.0172375734658,2052.891143714999
2022-06-02,1943.587427769166,2034.6447451121192
2022-06-03,1968.9761073538436,2061.2228875533838
2022-06-07,1931.1721132081132,2021.6477714902258
2022-06-08,1934.8452819185268,2025.4930286203007
2022-06-09,1939.6352168443577,2030.5073726045366
2022-06-10,1900.3530324623296,1989.384812905148
2022-06-13,1818.4802271670148,1903.6762563042744
2022-06-14,1808.1750289880677,1892.8882582844476
2022-06-15,1784.19664108498,1867.7864798688117
2022-06-16,1778.6804724753422,1862.0118780606315
2022-06-17,1764.0470433280038,1846.6928709029362
2022-06-20,1699.56320772121,1779.187959424563
2022-06-21,1715.1709555213483,1795.526932187438
2022-06-22,1641.5260143466226,1718.4317161840943
2022-06-23,1627.4166455278332,1703.6613216477658
2022-06-24,1661.2534435772689,1739.083377974671
2022-06-27,1727.9910952274672,1808.947697063756
2022-06-28,1746.7880508355443,1828.6252924246076
2022-06-29,1720.7353346190434,1801.3520031511516
2022-06-30,1668.3021044764205,1746.4622695303738
2022-07-01,1628.1059061329656,1704.382874199613
2022-07-04,1644.4246932807891,1721.4661985937375
2022-07-05,1690.9118361683966,1770.1312700179287
2022-07-06,1660.6354892319935,1738.4364723899928
2022-07-07,1706.8869750966144,1786.8548462298008
2022-07-08,1721.6982221590654,1802.3600020944705
2022-07-11,1758.3999477142931,1840.781208143947
2022-07-12,1729.083568491422,1810.0913528385993
2022-07-13,1757.0404255147848,1839.3579921570708
2022-07-14,1754.4778994549886,1836.67541142657
2022-07-15,1787.25559344649,1870.9887445361842
2022-07-18,1826.356475307018,1911.9215076679602
2022-07-19,1803.8928790047003,1888.405489031592
2022-07-20,1816.831596453101,1901.9503870324477
2022-07-21,1854.7602926293705,1941.656047432082
2022-07-22,1848.0043750003995,1934.5836142058733
2022-07-25,1830.4232520182798,1916.1788133836135
2022-07-26,1830.3097990897134,1916.0600451709633
2022-07-27,1830.431088489411,1916.1870169944102
2022-07-28,1818.7506171854432,1903.9593141293383
2022-07-29,1795.7735561212219,1879.905774841889
2022-08-01,1785.4173780772396,1869.0644085438887
2022-08-02,1776.6168099138688,1859.8515326465817
2022-08-03,1787.8872093469872,1871.649951721678
2022-08-04,1787.5636354882984,1871.3112183866963
2022-08-05,1807.1596993753215,1891.8253603506503
2022-08-08,1775.7239216305384,1858.9168124340028
2022-08-09,1740.492362752507,1822.0346505568946
2022-08-10,1686.9272073735594,1765.9599608589974
2022-08-11,1710.5406016836973,1790.6796456855905
2022-08-12,1724.6360606739975,1805.4354787162022
2022-08-16,1762.1526647241453,1844.7097404213728
2022-08-17,1754.3621093381491,1836.5541965280806
2022-08-18,1756.3284859687337,1838.6126981530488
2022-08-19,1743.6493751433056,1825.3395693783575
2022-08-22,1711.9444077588498,1792.1492202532984
2022-08-23,1686.757514293636,1765.7823176367713
2022-08-24,1678.8565553638891,1757.51119777971
2022-08-25,1697.8280277039012,1777.371486003508
2022-08-26,1709.0875201530189,1789.1584871010205
2022-08-29,1652.7758807119912,1730.208640214615
2022-08-30,1670.2073170512956,1748.4567415558704
2022-08-31,1697.8489487685495,1777.3933872226864
2022-09-01,1652.4857700076705,1729.9049377870247
