ticker,name,fiscal_year,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,audit_opinion,admin_issue,disclosed_at,source,reviewer,judgment_status
166090,하나머티리얼즈,2021,False,0.0,0.5,False,False,적정,False,2022-03-11,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220311001059,노민수,FINAL
166090,하나머티리얼즈,2022,False,0.0,0.5,False,False,적정,False,2023-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230310001059,노민수,FINAL
166090,하나머티리얼즈,2023,False,0.0,0.5,False,False,적정,False,2024-03-15,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000450,노민수,FINAL
166090,하나머티리얼즈,2024,False,0.0,0.5,False,False,적정,False,2025-03-14,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001222,노민수,FINAL
166090,하나머티리얼즈,2025,False,0.0,0.5,False,False,적정,False,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001351,노민수,FINAL
195870,해성디에스,2019,False,0.0,0.35,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002338,노민수,FINAL
195870,해성디에스,2020,False,0.0,0.35,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318000717,노민수,FINAL
195870,해성디에스,2021,False,0.0,0.35,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321000936,노민수,FINAL
195870,해성디에스,2022,False,0.0,0.35,False,False,적정,False,2023-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316000981,노민수,FINAL
195870,해성디에스,2023,False,0.0,0.35,False,False,적정,False,2024-03-14,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001380,노민수,FINAL
195870,해성디에스,2024,False,0.0,0.35,False,False,적정,False,2025-03-14,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001664,노민수,FINAL
195870,해성디에스,2025,False,0.0,0.35,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001527,노민수,FINAL
222800,심텍,2019,False,0.0,0.75,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002427,노민수,FINAL
222800,심텍,2020,False,0.0,0.75,False,False,적정,False,2021-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317001244,노민수,FINAL
222800,심텍,2021,False,0.0,0.75,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001461,노민수,FINAL
222800,심텍,2022,False,0.0,0.75,False,False,적정,False,2023-03-22,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230322001163,노민수,FINAL
222800,심텍,2023,False,0.0,0.75,False,False,적정,False,2024-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321000928,노민수,FINAL
222800,심텍,2024,False,0.0,0.75,False,False,적정,False,2025-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000476,노민수,FINAL
