ticker,name,fiscal_year,report_nm,rcept_no,rcept_dt,source_url,raw_sha256,raw_bytes,hbm_hits,status,disclosed_at,led_rcept_no,hbm_exposure,judgment_status,verdict,flag_zero_hbm
014680,한솔케미칼,2024,사업보고서 (2024.12),20250310000865,20250310,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250310000865,0514F3E11AD460082F726304420E9B432518D559E964DA4FB7B9561F71E2A9FC,597969,0,OK,2025-03-10,20250310000865,0.0,FINAL,MATCH,False
014680,한솔케미칼,2025,사업보고서 (2025.12),20260318001424,20260318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001424,31F4EE3329856AC9CFB04444752E6FA5034C45D23185CA527B26489C103BF24D,603513,0,OK,2026-03-18,20260318001424,0.0,FINAL,MATCH,False
033160,엠케이전자,2019,사업보고서 (2019.12),20200330003137,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003137,FB7A2947E79580AA89E5FFB39658EF1A43C2EC641C14D4B5222A223E73F122B9,642241,0,OK,2020-03-30,20200330003137,0.0,FINAL,MATCH,False
033160,엠케이전자,2020,사업보고서 (2020.12),20210323000531,20210323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210323000531,23031C3490765337EC0224324FD115EF060457EB59E2D01D5C61D8C425B42051,654607,0,OK,2021-03-23,20210323000531,0.0,FINAL,MATCH,False
033160,엠케이전자,2021,사업보고서 (2021.12),20220323001073,20220323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220323001073,540A16025B84A83037052A8038152BD557768B7398A11F66FDAE9A5E6D144F79,654313,0,OK,2022-03-23,20220323001073,0.0,FINAL,MATCH,False
033160,엠케이전자,2022,사업보고서 (2022.12),20230323001008,20230323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001008,EEE9F521D7B4DD86182B61DBF9798011AC550971C9B183F6224AB7E8893C855A,676493,0,OK,2023-03-23,20230323001008,0.0,FINAL,MATCH,False
033160,엠케이전자,2023,사업보고서 (2023.12),20240321001765,20240321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001765,0B4F3398E84DCAA2B00BFC4343FC2E5D3350DCA125B2EA2C8F63CC7B98A0550B,716118,0,OK,2024-03-21,20240321001765,0.0,FINAL,MATCH,False
033160,엠케이전자,2024,사업보고서 (2024.12),20250321001427,20250321,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001427,D398B65A3B98B21537F8410F531366F6CCBB90B501224A5E9AED01257C0E3B4F,737284,0,OK,2025-03-21,20250321001427,0.0,FINAL,MATCH,False
033160,엠케이전자,2025,사업보고서 (2025.12),20260323001379,20260323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001379,966595F5E310C1D5D9C06D3482A6F714DCB2F9808F4D62F790AC6EDE8A91E26B,881703,8,OK,2026-03-23,20260323001379,0.0,FINAL,MATCH,False
036540,SFA반도체,2019,사업보고서 (2019.12),20200330002872,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002872,F825925DDD6D4B06EB8DFEED31029ADAF6DB3C3CCA57FB6446BAF5186E67ADDA,438624,0,OK,2020-03-30,20200330002872,0.0,FINAL,MATCH,False
