ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,_주요제품,_핸도버2026bucket
036540,SFA반도체,2024-03-31,2023,반도체 제조업,,,,,,0.447,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
036540,SFA반도체,2025-03-31,2024,반도체 제조업,,,,,,0.4471,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
036540,SFA반도체,2026-03-31,2025,반도체 제조업,,,,,,0.4471,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"반도체패키지(SOP,DIP,QFP)",
036930,주성엔지니어링,2020-03-31,2019,특수 목적용 기계 제조업,,,,,,0.7218,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,LP CVD,
036930,주성엔지니어링,2021-03-31,2020,특수 목적용 기계 제조업,,,,,,0.7103,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,LP CVD,
036930,주성엔지니어링,2022-03-31,2021,특수 목적용 기계 제조업,,,,,,0.7104,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,LP CVD,
036930,주성엔지니어링,2023-03-31,2022,특수 목적용 기계 제조업,,,,,,0.7031,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,LP CVD,
036930,주성엔지니어링,2024-03-31,2023,특수 목적용 기계 제조업,,,,,,0.6901,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,LP CVD,
036930,주성엔지니어링,2025-03-31,2024,특수 목적용 기계 제조업,,,,,,0.6705,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,LP CVD,
036930,주성엔지니어링,2026-03-31,2025,특수 목적용 기계 제조업,,,,,,0.6659,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,LP CVD,
039030,이오테크닉스,2020-03-31,2019,특수 목적용 기계 제조업,,,,,,0.6894,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
039030,이오테크닉스,2021-03-31,2020,특수 목적용 기계 제조업,,,,,,0.6813,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
039030,이오테크닉스,2022-03-31,2021,특수 목적용 기계 제조업,,,,,,0.6813,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
039030,이오테크닉스,2023-03-31,2022,특수 목적용 기계 제조업,,,,,,0.6717,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
039030,이오테크닉스,2024-03-31,2023,특수 목적용 기계 제조업,,,,,,0.6717,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
039030,이오테크닉스,2025-03-31,2024,특수 목적용 기계 제조업,,,,,,0.6717,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
039030,이오테크닉스,2026-03-31,2025,특수 목적용 기계 제조업,,,,,,0.6894,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,레이저 마커 및 레이저 응용기기,
042700,한미반도체,2020-03-31,2019,특수 목적용 기계 제조업,,,,,,0.3821,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
042700,한미반도체,2021-03-31,2020,특수 목적용 기계 제조업,,,,,,0.4171,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
042700,한미반도체,2022-03-31,2021,특수 목적용 기계 제조업,,,,,,0.4423,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
042700,한미반도체,2023-03-31,2022,특수 목적용 기계 제조업,,,,,,0.4345,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
042700,한미반도체,2024-03-31,2023,특수 목적용 기계 제조업,,,,,,0.4499,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
042700,한미반도체,2025-03-31,2024,특수 목적용 기계 제조업,,,,,,0.4341,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
042700,한미반도체,2026-03-31,2025,특수 목적용 기계 제조업,,,,,,0.4382,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",core
